size, builder, normal, total_normal, total_builder
1, 0.0269, 0.0912, 0.241, 0.1686
2, 0.0487, 0.3558, 0.6556, 0.2634
3, 0.0876, 0.528, 0.7336, 0.3468
4, 0.1476, 0.8387, 1.2196, 0.6734
5, 0.2142, 1.1278, 1.7741, 0.8884
6, 0.4356, 1.6217, 2.7258, 1.2996
7, 0.4064, 10.8747, 11.9537, 1.6691
8, 0.5695, 3.5222, 8.6146, 2.469
9, 0.795, 5.2109, 7.6519, 2.555
10, 0.8145, 10.3752, 22.2899, 9.9564
11, 1.0468, 20.8432, 25.121, 3.7112
12, 1.2057, 65.1391, 68.5913, 4.7064
13, 1.6713, 26.6818, 31.5639, 12.4526
14, 1.9176, 72.471, 79.4484, 6.3448
15, 2.0821, 83.1402, 88.0624, 14.4327
16, 2.5495, 88.353, 96.7181, 14.9345
17, 2.6056, 83.3336, 99.6348, 16.2853
18, 2.8221, 138.9494, 152.9202, 16.4019
19, 3.3365, 96.368, 108.5592, 18.0876
20, 3.6034, 212.0706, 223.1622, 28.4419
